Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Leche,001,Lacteos,2025-12-01,Nestle,1.0,10
Leche,002,Lacteos,2025-12-05,Nestle,1.2,15
Leche,003,Lacteos,2025-12-10,Nestle,1.3,20
Pan,004,Panaderia,2025-11-01,Bimbo,1.1,30
Pan,005,Panaderia,2025-11-03,Bimbo,1.2,25
Manzana,006,Fruta,2025-10-01,Dole,1.5,40
Banana,007,Fruta,2025-10-02,Dole,1.2,35
Pera,008,Fruta,2025-10-03,Dole,1.4,20
Arroz,009,Grano,2026-01-10,DelCampo,2.0,50
Frijol,010,Grano,2026-02-15,DelCampo,2.1,45
Lenteja,011,Grano,2026-03-20,DelCampo,2.2,40
Azucar,012,Endulzante,2026-01-05,DelCampo,2.0,30
Sal,013,Endulzante,2026-01-06,DelCampo,1.8,25
Cafe,014,Bebida,2025-12-15,Nescafe,3.0,20
Te,015,Bebida,2025-12-18,Lipton,2.5,18
Yogurt,016,Lacteos,2025-12-20,Dannon,1.0,22
Queso,017,Lacteos,2025-12-25,Local,3.0,12
Chocolate,018,Snack,2025-11-20,Hershey,1.8,15
Galleta,019,Snack,2025-11-22,Oreo,1.5,18
Agua,020,Bebida,2025-12-30,Ciel,1.0,100
,021,Fruta,2025-12-01,Dole,1.5,10
Mango,022,Fruta,20251201,Dole,1.5,10
Naranja,,Fruta,2025-12-05,Dole,-1.0,15
Papaya,024,,2025-12-08,DelCampo,2.0,-5
Sandia,025,Fruta,2025-12-10,,,20
Leche,001,Lacteos,2025-12-01,Nestle,1.0,10
Pan,004,Panaderia,2025-11-01,Bimbo,1.1,30
Cafe,014,Bebida,2025-12-15,Nescafe,3.0,20
Yogurt,016,Lacteos,2025-12-20,Dannon,1.0,22
Agua,020,Bebida,2025-12-30,Ciel,1.0,100
